epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,404.923,0.71439,0.40897,0.93796,0.68561,0.65867,0.72879,0.47142,1.01145,0.59047,1.02441,0.00144916,0.00144916,0.00144916
134,407.899,0.74456,0.4258,0.93896,0.68185,0.64329,0.73123,0.46079,1.10799,0.6186,1.08065,0.00144751,0.00144751,0.00144751
135,410.857,0.72799,0.40996,0.93784,0.70409,0.60157,0.715,0.45164,1.12194,0.62446,1.10572,0.00144586,0.00144586,0.00144586
136,413.826,0.74834,0.42821,0.94972,0.81672,0.54079,0.70656,0.45574,1.01351,0.60196,1.00814,0.00144421,0.00144421,0.00144421
137,416.721,0.71415,0.41189,0.94995,0.63741,0.66591,0.71978,0.45954,1.04952,0.6366,1.05924,0.00144256,0.00144256,0.00144256
138,419.747,0.74851,0.4174,0.94038,0.70426,0.61253,0.72346,0.46516,1.09897,0.60716,1.10173,0.0014409,0.0014409,0.0014409
139,422.605,0.74698,0.42474,0.93132,0.74885,0.65265,0.73721,0.46921,1.07621,0.58977,1.07772,0.00143925,0.00143925,0.00143925
140,425.583,0.75546,0.44048,0.94695,0.68672,0.61805,0.72252,0.45846,1.15761,0.69098,1.17741,0.0014376,0.0014376,0.0014376
141,428.631,0.74045,0.42756,0.94734,0.7309,0.579,0.72066,0.44649,1.14401,0.61857,1.15322,0.00143595,0.00143595,0.00143595
142,431.742,0.72221,0.40932,0.94187,0.75048,0.64832,0.7413,0.44725,1.29048,0.67891,1.40231,0.0014343,0.0014343,0.0014343
143,434.705,0.73912,0.40529,0.93963,0.77961,0.6272,0.73495,0.46641,1.06998,0.62614,1.07567,0.00143265,0.00143265,0.00143265
144,437.629,0.72923,0.42447,0.94094,0.76211,0.60665,0.71542,0.46227,1.0552,0.66007,1.09523,0.001431,0.001431,0.001431
145,440.595,0.7429,0.43208,0.93277,0.68309,0.62637,0.71006,0.44084,1.16611,0.61751,1.11607,0.00142935,0.00142935,0.00142935
146,443.602,0.74224,0.42058,0.9384,0.73663,0.58841,0.69891,0.44991,1.10264,0.67395,1.07063,0.0014277,0.0014277,0.0014277
147,446.637,0.75648,0.44116,0.94211,0.68627,0.63353,0.70817,0.44393,1.05222,0.59254,1.06544,0.00142605,0.00142605,0.00142605
148,449.623,0.74038,0.42553,0.93803,0.7438,0.59599,0.71788,0.44859,1.1356,0.62492,1.1253,0.0014244,0.0014244,0.0014244
149,452.608,0.76577,0.44231,0.93818,0.68669,0.60356,0.68746,0.42634,1.12123,0.6571,1.09536,0.00142275,0.00142275,0.00142275
150,455.561,0.73121,0.40895,0.93524,0.66411,0.60911,0.71108,0.44467,1.16349,0.69536,1.17702,0.0014211,0.0014211,0.0014211
151,458.575,0.73955,0.42268,0.927,0.69207,0.60759,0.69783,0.44637,1.12693,0.63616,1.14015,0.00141945,0.00141945,0.00141945
152,461.647,0.72331,0.40637,0.9362,0.71571,0.61629,0.69865,0.45258,1.06922,0.59286,1.07176,0.0014178,0.0014178,0.0014178
153,464.83,0.74097,0.41348,0.93043,0.72789,0.63536,0.70652,0.44836,1.0934,0.65405,1.10495,0.00141615,0.00141615,0.00141615
154,467.902,0.69567,0.42137,0.93955,0.7052,0.5359,0.63675,0.4135,1.0726,0.76566,1.08885,0.0014145,0.0014145,0.0014145
155,470.805,0.7265,0.4213,0.93702,0.78672,0.57176,0.72155,0.45756,1.07298,0.62454,1.08183,0.00141285,0.00141285,0.00141285
156,473.689,0.71089,0.4138,0.9318,0.786,0.6404,0.73828,0.48206,1.05781,0.61361,1.06517,0.0014112,0.0014112,0.0014112
157,476.688,0.73351,0.41536,0.9349,0.70497,0.6034,0.7192,0.4645,1.01838,0.57052,1.01853,0.00140955,0.00140955,0.00140955
158,479.852,0.70976,0.39771,0.93396,0.74798,0.62419,0.73227,0.47197,0.9717,0.53634,1.01376,0.0014079,0.0014079,0.0014079
159,482.833,0.68723,0.39204,0.94393,0.80503,0.61405,0.74046,0.47699,1.03015,0.54805,1.04623,0.00140625,0.00140625,0.00140625
160,485.816,0.73467,0.44098,0.93187,0.65679,0.63956,0.68616,0.43938,1.10813,0.70766,1.13287,0.0014046,0.0014046,0.0014046
161,488.782,0.69388,0.41153,0.94012,0.67365,0.64918,0.71612,0.45596,1.13337,0.6302,1.1433,0.00140295,0.00140295,0.00140295
162,491.689,0.72314,0.42152,0.93782,0.79478,0.59873,0.7323,0.45394,1.18943,0.61172,1.21599,0.0014013,0.0014013,0.0014013
163,494.741,0.70921,0.40897,0.94111,0.68851,0.665,0.73272,0.46859,1.05609,0.56393,1.05735,0.00139965,0.00139965,0.00139965
164,497.679,0.73456,0.40765,0.93141,0.71317,0.66518,0.74082,0.46388,1.06875,0.65578,1.10573,0.001398,0.001398,0.001398
165,500.64,0.73197,0.40479,0.92294,0.76097,0.59624,0.72572,0.45673,1.0369,0.62928,1.07477,0.00139635,0.00139635,0.00139635
166,503.563,0.69868,0.40113,0.95102,0.77095,0.5641,0.71519,0.44222,1.15433,0.72731,1.19089,0.0013947,0.0013947,0.0013947
167,506.418,0.71353,0.39905,0.92546,0.72514,0.59686,0.69694,0.45218,1.01587,0.65264,1.04997,0.00139305,0.00139305,0.00139305
168,509.371,0.72412,0.40461,0.94259,0.72944,0.61549,0.71191,0.4599,1.03007,0.63543,1.07519,0.00139139,0.00139139,0.00139139
169,512.414,0.70053,0.39943,0.92406,0.74125,0.62221,0.72189,0.46319,1.003,0.57348,1.01913,0.00138974,0.00138974,0.00138974
170,515.336,0.75801,0.43559,0.93745,0.77586,0.62254,0.74843,0.47685,1.03576,0.56554,1.04352,0.00138809,0.00138809,0.00138809
171,518.288,0.71666,0.40461,0.93329,0.7671,0.56533,0.68569,0.42672,1.05058,0.58482,1.07046,0.00138644,0.00138644,0.00138644
172,521.26,0.70397,0.39703,0.93277,0.735,0.5528,0.6882,0.43984,1.08405,0.68031,1.10681,0.00138479,0.00138479,0.00138479
173,524.225,0.72813,0.40723,0.92529,0.7135,0.66667,0.73356,0.47354,0.97777,0.54633,1.03114,0.00138314,0.00138314,0.00138314
174,527.256,0.70086,0.39373,0.93663,0.77048,0.61859,0.72257,0.44833,1.23604,0.63898,1.25979,0.00138149,0.00138149,0.00138149
175,530.22,0.69785,0.41051,0.93344,0.79601,0.59534,0.72219,0.45714,1.16645,0.7352,1.23114,0.00137984,0.00137984,0.00137984
176,533.169,0.699,0.39785,0.92902,0.79436,0.5974,0.71559,0.45409,1.06819,0.6213,1.09869,0.00137819,0.00137819,0.00137819
177,536.114,0.73289,0.41455,0.9327,0.79569,0.58159,0.70019,0.44086,1.08683,0.60486,1.11536,0.00137654,0.00137654,0.00137654
178,539.189,0.70684,0.41677,0.93088,0.72622,0.62599,0.7027,0.45461,1.03913,0.63337,1.04257,0.00137489,0.00137489,0.00137489
179,542.261,0.73542,0.41677,0.92726,0.67264,0.64145,0.71287,0.45308,1.03231,0.60044,1.04637,0.00137324,0.00137324,0.00137324
